gscn,ssb_mhz,dl_nr_arfcn,gnb_ssb_arfcn,result,seconds
1578,631.35,125400,126270,no_ue,47
1547,619.25,125400,,gnb_start_fail,0
1548,619.35,125400,123870,UE_ATTACHED,7
1549,619.45,125400,,gnb_start_fail,0
1550,620.45,125400,,gnb_start_fail,0
1551,620.55,125400,124110,UE_ATTACHED,14
1552,620.65,125400,,gnb_start_fail,0
1553,621.65,125400,,gnb_start_fail,0
1554,621.75,125400,124350,UE_ATTACHED,30
1555,621.85,125400,,gnb_start_fail,0
1556,622.85,125400,,gnb_start_fail,0
1557,622.95,125400,124590,UE_ATTACHED,44
1558,623.05,125400,,gnb_start_fail,0
1559,624.05,125400,,gnb_start_fail,0
1560,624.15,125400,124830,UE_ATTACHED,14
1561,624.25,125400,,gnb_start_fail,0
1562,625.25,125400,,gnb_start_fail,0
1563,625.35,125400,125070,no_ue,329
1564,625.45,125400,,gnb_start_fail,0
1565,626.45,125400,,gnb_start_fail,0
1566,626.55,125400,125310,no_ue,424
1567,626.65,125400,,gnb_start_fail,0
1568,627.65,125400,,gnb_start_fail,0
1569,627.75,125400,125550,no_ue,50
1570,627.85,125400,,gnb_start_fail,0
1571,628.85,125400,,gnb_start_fail,0
1572,628.95,125400,125790,no_ue,51
1573,629.05,125400,,gnb_start_fail,0
1574,630.05,125400,,gnb_start_fail,0
1575,630.15,125400,126030,no_ue,50
1576,630.25,125400,,gnb_start_fail,0
1577,631.25,125400,,gnb_start_fail,0
1579,631.45,125400,,gnb_start_fail,0
1580,632.45,125400,,gnb_start_fail,0
1581,632.55,125400,126510,no_ue,50
1587,634.95,128400,126990,no_ue,51
1602,640.95,128400,128190,UE_ATTACHED,13
1560,624.15,125400,124830,UE_ATTACHED,1
